Date time,AverageTemperature,CountStations
202012010000,17.682051282051276,39
202012010010,17.628205128205128,39
202012010020,17.571794871794868,39
202012010030,17.53333333333333,39
202012010040,17.471794871794877,39
202012010050,17.41282051282051,39
202012010100,17.323076923076922,39
202012010110,17.27692307692308,39
202012010120,17.23589743589744,39
202012010130,17.19743589743589,39
202012010140,17.161538461538456,39
202012010150,17.07948717948718,39
202012010200,16.938461538461542,39
202012010210,16.81025641025641,39
202012010220,16.687179487179485,39
202012010230,16.543589743589745,39
202012010240,16.412820512820513,39
202012010250,16.310256410256407,39
202012010300,16.210256410256413,39
202012010310,16.112820512820512,39
202012010320,16.08717948717949,39
202012010330,16.097435897435897,39
202012010340,16.102564102564102,39
202012010350,16.13333333333333,39
202012010400,16.123076923076923,39
202012010410,16.107692307692307,39
202012010420,16.1025641025641,39
202012010430,16.056410256410256,39
202012010440,15.992307692307694,39
202012010450,15.935897435897436,39
202012010500,15.907692307692306,39
202012010510,15.88205128205128,39
202012010520,15.843589743589742,39
202012010530,15.817948717948715,39
202012010540,15.820512820512814,39
202012010550,15.766666666666664,39
202012010600,15.692307692307695,39
202012010610,15.674358974358974,39
202012010620,15.630769230769229,39
202012010630,15.574358974358974,39
202012010640,15.530769230769225,39
202012010650,15.500000000000004,39
202012010700,15.461538461538458,39
202012010710,15.456410256410255,39
202012010720,15.523076923076923,39
202012010730,15.600000000000003,39
202012010740,15.702564102564105,39
202012010750,15.846153846153847,39
202012010800,15.982051282051275,39
202012010810,16.233333333333334,39
202012010820,16.47692307692308,39
202012010830,16.635897435897434,39
202012010840,16.856410256410253,39
202012010850,17.035897435897436,39
202012010900,17.248717948717943,39
202012010910,17.456410256410262,39
202012010920,17.538461538461537,39
202012010930,17.730769230769226,39
202012010940,17.94615384615384,39
202012010950,18.117948717948714,39
202012011000,18.4025641025641,39
202012011010,18.610256410256408,39
202012011020,18.820512820512814,39
202012011030,19.102631578947364,38
202012011040,19.442857142857143,7
202012011050,19.782051282051285,39
202012011100,20.069230769230767,39
202012011110,20.26923076923077,39
202012011120,20.44102564102564,39
202012011130,20.710256410256406,39
202012011140,20.81538461538462,39
202012011150,20.935897435897438,39
202012011200,21.00769230769231,39
202012011210,21.166666666666664,39
202012011220,21.19743589743589,39
202012011230,21.32051282051282,39
202012011240,21.389743589743595,39
202012011250,21.53846153846154,39
202012011300,21.53076923076923,39
202012011310,21.664102564102564,39
202012011320,21.700000000000003,39
202012011330,21.76923076923077,39
202012011340,21.766666666666666,39
202012011350,21.83076923076923,39
202012011400,21.86153846153846,39
202012011410,21.907692307692308,39
202012011420,21.871794871794876,39
202012011430,21.85128205128205,39
202012011440,21.865789473684213,38
202012011450,21.9051282051282,39
202012011500,21.866666666666674,39
202012011510,21.8,39
202012011520,21.710256410256402,39
202012011530,21.676923076923075,39
202012011540,21.625641025641027,39
202012011550,21.571794871794875,39
202012011600,21.49743589743589,39
202012011610,21.41794871794872,39
202012011620,21.279487179487177,39
202012011630,21.133333333333326,39
202012011640,21.000000000000004,39
202012011650,20.82051282051282,39
202012011700,20.630769230769236,39
202012011710,20.397435897435898,39
202012011720,20.182051282051283,39
202012011730,19.91794871794872,39
202012011740,19.66666666666666,39
202012011750,19.44615384615384,39
202012011800,19.25384615384615,39
202012011810,19.112820512820516,39
202012011820,18.974358974358974,39
202012011830,18.78684210526316,38
